CIDADE;LATITUDE;LONGITUDE;POPULAÇÃO
CACAPAVA;-23,0715553;-45,7308021;96202
CACAPAVA;-23,10534893;-45,72401095;96202
CACAPAVA;-23,1203208;-45,6459475;96202
CACAPAVA;-23,0804487;-45,7194596;96202
CACAPAVA;-23,0737742;-45,7271544;96202
CACAPAVA;-23,0804487;-45,7194596;96202
CACAPAVA;-23,0726437;-45,7316863;96202
CACAPAVA;-23,0736378;-45,7272121;96202
CACAPAVA;-23,0709009;-45,7311523;96202
CACAPAVA;-23,1078234;-45,7240616;96202
CACAPAVA;-23,0726437;-45,7316863;96202
CACAPAVA;-23,0804487;-45,7194596;96202
CACAPAVA;-23,10534893;-45,72401095;96202
CACAPAVA;-23,10534893;-45,72401095;96202
CACAPAVA;-23,0726437;-45,7316863;96202
CACAPAVA;-23,0804487;-45,7194596;96202
CACAPAVA;-23,0724741;-45,72494;96202
CACAPAVA;-23,11515017;-45,73468087;96202
CACHOEIRA PAULISTA;-22,6658752;-45,009154;31564
CACHOEIRA PAULISTA;-22,66870451;-45,01922522;31564
CACHOEIRA PAULISTA;-22,6110696;-45,0814547;31564
CACHOEIRA PAULISTA;-22,6656334;-45,0179252;31564
CACHOEIRA PAULISTA;-22,66561842;-45,01254489;31564
CACHOEIRA PAULISTA;-22,6708766;-45,00084371;31564
CACHOEIRA PAULISTA;-22,6426241;-44,9961909;31564
CACHOEIRA PAULISTA;-22,6979746;-44,9813452;31564
CACHOEIRA PAULISTA;-22,59960476;-45,05333295;31564
CACHOEIRA PAULISTA;-22,66870451;-45,01922522;31564
CACHOEIRA PAULISTA;-22,6715349;-44,9985486;31564
CACHOEIRA PAULISTA;-22,6110696;-45,0814547;31564
CACHOEIRA PAULISTA;-22,6630151;-45,0070755;31564
CACHOEIRA PAULISTA;-22,6979746;-44,9813452;31564
CACHOEIRA PAULISTA;-22,6110696;-45,0814547;31564
CACHOEIRA PAULISTA;-22,66368583;-45,01102759;31564
CACHOEIRA PAULISTA;-22,6714645;-45,0283842;31564
CAMPOS DO JORDAO;-22,720674;-45,573461;46974
